time,lenthofTweet,NumChar,Capital,Smile,Sad,NumPositiveWords,NumNegativeWords,PositiveScoer,I,You,HeShe,Via,Stock,Question,Exclamation,QuestionExclamation,Userfollowers_count,Userfriends_count,UserrepitationScore,UserJoin_date,UserDescription,Usertweets_count,Userverified,UserNumphoto,UserIsInLargeCity,Ps,Pa,Pp,Qp,Qa,Qs,Hashtag,Menstion,numUrls,Retweets,Isretweet,NumPhotos,Favorites,ContainNEWS,Contain_videos,WotScore,UrlRankIn5000,UrlRank,creditScore
33,41,33,32,40,30,29,24,31,16,5,35,23,37,3,1,0,18,11,2,38,22,4,8,9,17,42,14,26,39,28,36,19,15,10,34,25,20,43,13,12,21,6,27,7
34,26,28,22,42,33,18,16,17,11,7,36,24,35,2,1,0,9,8,3,29,40,5,19,10,23,43,13,41,39,34,32,38,21,20,31,27,12,37,15,14,30,4,25,6
35,38,30,15,43,33,23,24,22,12,5,36,21,35,11,1,0,6,9,4,34,28,3,8,16,17,41,13,25,40,37,39,32,19,20,29,10,26,31,18,14,27,2,42,7
36,26,25,11,41,30,12,33,31,16,4,32,23,37,7,1,0,15,13,3,29,35,10,6,5,20,42,19,43,40,36,38,22,9,18,39,27,14,34,21,17,24,2,28,8
37,20,22,28,42,34,18,33,15,12,8,36,23,37,1,3,0,5,10,4,35,21,2,9,11,13,43,26,25,41,38,40,31,19,29,39,14,27,24,17,16,30,7,32,6
38,17,27,18,41,35,30,19,22,13,9,24,28,39,6,1,0,4,12,5,37,33,3,11,8,10,42,25,23,43,38,40,29,21,26,34,20,14,31,16,15,32,2,36,7
39,23,37,12,40,34,15,17,22,13,8,30,26,41,10,2,0,6,11,4,38,18,1,9,7,29,43,16,31,42,39,33,28,20,19,36,27,24,35,21,14,25,3,32,5
40,19,30,21,32,33,24,29,22,17,6,35,31,41,8,1,0,4,7,2,20,12,5,10,14,11,43,26,36,42,39,38,25,13,40,34,18,15,37,23,16,27,3,28,9
41,33,34,16,26,32,28,40,29,17,7,39,12,35,5,1,0,8,14,2,30,38,6,9,10,13,43,15,36,42,41,24,20,21,19,37,31,18,27,23,11,22,4,25,3
42,15,33,12,23,34,31,25,35,10,6,30,28,38,7,3,0,9,14,5,26,32,2,8,22,18,42,19,37,43,41,29,24,11,20,40,13,16,36,21,17,27,1,39,4
43,12,24,30,26,28,21,20,39,22,6,31,23,41,7,1,0,3,8,9,33,25,5,11,18,16,43,10,35,42,37,38,34,17,27,36,13,15,40,19,14,29,2,32,4
44,41,39,25,32,35,38,22,19,11,7,12,13,37,8,1,0,4,10,2,27,36,5,20,9,28,42,21,31,43,40,30,16,18,29,34,17,23,15,26,14,24,3,33,6
45,31,25,26,24,34,20,28,33,17,12,22,11,27,5,1,0,3,6,4,38,18,7,15,14,21,41,23,39,43,40,42,19,32,30,37,8,13,35,9,16,29,2,36,10
46,22,20,13,30,35,32,11,39,19,10,38,27,33,4,1,0,7,3,6,37,31,5,9,14,16,41,28,29,43,40,42,26,21,24,34,12,17,23,15,18,25,2,36,8
47,16,38,17,23,33,27,26,19,8,11,30,24,35,4,1,0,7,14,3,32,28,6,9,13,12,43,20,34,42,37,31,21,29,25,36,22,10,40,18,15,39,2,41,5
48,35,28,13,27,36,30,29,17,18,10,40,23,21,4,1,0,6,11,2,32,33,8,5,16,14,43,19,38,42,31,39,22,9,26,34,12,20,25,24,15,37,3,41,7
