time,creditScore,crowdwisdom,Textfeature,allfeature,Tweetfeature,Userfeature,spikM
1,0.701587301587,0.542857142857,0.68253968254,0.704761904762,0.731746031746,0.774603174603,0.57619047619
2,0.679365079365,0.531746031746,0.768253968254,0.793650793651,0.72380952381,0.749206349206,0.687301587302
3,0.746031746032,0.598412698413,0.665079365079,0.757142857143,0.67619047619,0.738095238095,0.631746031746
4,0.746031746032,0.609523809524,0.726984126984,0.804761904762,0.726984126984,0.838095238095,0.679365079365
5,0.665079365079,0.620634920635,0.760317460317,0.712698412698,0.690476190476,0.78253968254,0.598412698413
6,0.72380952381,0.598412698413,0.642857142857,0.815873015873,0.709523809524,0.746031746032,0.550793650794
7,0.695238095238,0.62380952381,0.709523809524,0.779365079365,0.768253968254,0.812698412698,0.557142857143
8,0.687301587302,0.612698412698,0.690476190476,0.746031746032,0.757142857143,0.765079365079,0.598412698413
9,0.660317460317,0.612698412698,0.757142857143,0.801587301587,0.726984126984,0.757142857143,0.620634920635
10,0.638095238095,0.579365079365,0.734920634921,0.790476190476,0.709523809524,0.790476190476,0.671428571429
11,0.668253968254,0.546031746032,0.765079365079,0.72380952381,0.746031746032,0.790476190476,0.661904761905
12,0.665079365079,0.590476190476,0.815873015873,0.849206349206,0.746031746032,0.753968253968,0.528571428571
13,0.749206349206,0.579365079365,0.78253968254,0.826984126984,0.704761904762,0.812698412698,0.573015873016
14,0.760317460317,0.590476190476,0.738095238095,0.826984126984,0.698412698413,0.815873015873,0.565079365079
15,0.760317460317,0.660317460317,0.749206349206,0.82380952381,0.793650793651,0.812698412698,0.592063492063
16,0.771428571429,0.693650793651,0.779365079365,0.849206349206,0.746031746032,0.765079365079,0.646031746032
17,0.749206349206,0.693650793651,0.830158730159,0.846031746032,0.746031746032,0.78253968254,0.580952380952
18,0.749206349206,0.715873015873,0.863492063492,0.82380952381,0.77619047619,0.760317460317,0.634920634921
19,0.78253968254,0.726984126984,0.807936507937,0.857142857143,0.720634920635,0.820634920635,0.553968253968
20,0.771428571429,0.749206349206,0.896825396825,0.809523809524,0.712698412698,0.768253968254,0.568253968254
21,0.749206349206,0.738095238095,0.82380952381,0.838095238095,0.757142857143,0.790476190476,0.72380952381
22,0.771428571429,0.78253968254,0.82380952381,0.849206349206,0.812698412698,0.846031746032,0.668253968254
23,0.768253968254,0.771428571429,0.874603174603,0.871428571429,0.746031746032,0.826984126984,0.67619047619
24,0.78253968254,0.771428571429,0.885714285714,0.84126984127,0.742857142857,0.798412698413,0.679365079365
25,0.771428571429,0.771428571429,0.838095238095,0.885714285714,0.768253968254,0.77619047619,0.653968253968
26,0.757142857143,0.78253968254,0.863492063492,0.904761904762,0.846031746032,0.784126984127,0.668253968254
27,0.804761904762,0.785714285714,0.907936507937,0.88253968254,0.787301587302,0.846031746032,0.712698412698
28,0.793650793651,0.749206349206,0.919047619048,0.860317460317,0.798412698413,0.838095238095,0.709523809524
29,0.771428571429,0.78253968254,0.907936507937,0.915873015873,0.82380952381,0.77619047619,0.62380952381
30,0.749206349206,0.760317460317,0.896825396825,0.893650793651,0.834920634921,0.798412698413,0.653968253968
31,0.746031746032,0.785714285714,0.88253968254,0.826984126984,0.798412698413,0.871428571429,0.668253968254
32,0.738095238095,0.796825396825,0.874603174603,0.893650793651,0.779365079365,0.78253968254,0.657142857143
33,0.78253968254,0.796825396825,0.88253968254,0.871428571429,0.77619047619,0.812698412698,0.657142857143
34,0.771428571429,0.807936507937,0.919047619048,0.849206349206,0.809523809524,0.860317460317,0.701587301587
35,0.774603174603,0.819047619048,0.885714285714,0.860317460317,0.787301587302,0.834920634921,0.657142857143
36,0.760317460317,0.807936507937,0.860317460317,0.907936507937,0.787301587302,0.801587301587,0.68253968254
37,0.704761904762,0.819047619048,0.852380952381,0.88253968254,0.812698412698,0.849206349206,0.701587301587
38,0.768253968254,0.819047619048,0.885714285714,0.94126984127,0.801587301587,0.779365079365,0.712698412698
39,0.749206349206,0.819047619048,0.907936507937,0.896825396825,0.779365079365,0.838095238095,0.649206349206
40,0.796825396825,0.84126984127,0.896825396825,0.907936507937,0.850793650794,0.82380952381,0.657142857143
41,0.760317460317,0.819047619048,0.896825396825,0.930158730159,0.879365079365,0.82380952381,0.715873015873
42,0.78253968254,0.830158730159,0.907936507937,0.919047619048,0.846031746032,0.812698412698,0.701587301587
43,0.738095238095,0.84126984127,0.885714285714,0.893650793651,0.809523809524,0.82380952381,0.634920634921
44,0.793650793651,0.830158730159,0.871428571429,0.88253968254,0.812698412698,0.720634920635,0.704761904762
45,0.760317460317,0.819047619048,0.871428571429,0.896825396825,0.865079365079,0.77619047619,0.690476190476
46,0.796825396825,0.819047619048,0.893650793651,0.860317460317,0.77619047619,0.798412698413,0.712698412698
47,0.819047619048,0.830158730159,0.907936507937,0.896825396825,0.834920634921,0.809523809524,0.679365079365
48,0.734920634921,0.830158730159,0.907936507937,0.94126984127,0.812698412698,0.768253968254,0.68253968254
